id,customer,red,blue,green,yellow,black,white,pending,orderdate,tokendate,shipdate,shipped
1,Sherrie,9,3,7,8,6,0,0,2018-06-18 16:08:37,2018-06-18 16:08:37,2018-06-18 16:12:26,1
2,Dan,10,2,5,1,8,10,0,2018-06-18 16:08:37,2018-06-18 16:10:09,2018-06-18 16:14:10,1
3,Erma,1,6,6,8,2,8,0,2018-06-18 16:08:37,2018-06-18 16:12:15,2018-06-18 16:17:02,1
4,Sharon,5,8,4,9,9,2,0,2018-06-18 16:08:37,2018-06-18 16:15:48,2018-06-18 16:18:21,1
5,Sherrie,6,3,3,0,1,8,0,2018-06-18 16:08:37,2018-06-18 16:16:47,2018-06-18 16:19:13,1
6,Jacqueline,6,8,5,5,8,7,0,2018-06-18 16:08:37,2018-06-18 16:17:48,2018-06-18 16:20:57,1
7,Ramon,0,7,4,2,2,6,0,2018-06-18 16:08:37,2018-06-18 16:19:45,2018-06-18 16:21:57,1
8,Louise,2,0,3,6,5,5,0,2018-06-18 16:08:37,2018-06-18 16:20:36,2018-06-18 16:22:30,1
9,Ana,8,6,0,4,7,6,0,2018-06-18 16:08:37,2018-06-18 16:20:36,2018-06-18 16:24:34,1
10,Stephen,4,8,5,2,7,2,0,2018-06-18 16:08:37,2018-06-18 16:23:25,2018-06-18 16:25:27,1
11,Cayce,1,0,2,8,9,5,0,2018-06-18 16:08:37,2018-06-18 16:24:14,2018-06-18 16:26:35,1
12,Madeline,3,5,6,8,7,0,0,2018-06-18 16:08:37,2018-06-18 16:25:08,2018-06-18 16:27:51,1
13,Karen,5,7,0,2,9,2,0,2018-06-18 16:08:37,2018-06-18 16:26:32,2018-06-18 16:28:48,1
14,Tony,0,3,0,8,5,0,0,2018-06-18 16:08:37,2018-06-18 16:27:18,2018-06-18 16:29:37,1
15,Leslie,4,1,8,6,8,9,0,2018-06-18 16:08:37,2018-06-18 16:28:44,2018-06-18 16:30:23,1
16,Roxana,4,0,8,2,7,9,0,2018-06-18 16:08:37,2018-06-18 16:29:16,2018-06-18 16:31:49,1
17,Stephen,7,8,4,2,7,7,0,2018-06-18 16:08:37,2018-06-18 16:30:50,2018-06-18 16:32:46,1
18,Mark,0,0,0,8,9,0,0,2018-06-18 16:08:37,2018-06-18 16:31:39,2018-06-18 16:33:17,1
19,Rick,0,0,0,7,1,9,0,2018-06-18 16:08:37,2018-06-18 16:32:30,2018-06-18 16:33:35,1
20,Frank,0,0,0,3,1,0,0,2018-06-18 16:08:38,2018-06-18 16:33:19,2018-06-18 16:34:11,1
21,Tony,9,1,3,5,2,3,0,2018-06-18 16:08:38,2018-06-18 16:33:20,2018-06-18 16:34:43,1
22,Sharon,3,7,4,4,3,7,0,2018-06-18 16:08:38,2018-06-18 16:33:52,2018-06-18 16:36:04,1
23,Cathy,5,1,7,1,8,1,0,2018-06-18 16:08:38,2018-06-18 16:34:51,2018-06-18 16:36:50,1
24,Shane,1,10,3,8,3,4,0,2018-06-18 16:08:38,2018-06-18 16:35:46,2018-06-18 16:37:56,1
25,Ira,0,0,0,8,3,3,0,2018-06-18 16:08:38,2018-06-18 16:36:47,2018-06-18 16:38:24,1
26,Denise,4,5,9,0,4,6,0,2018-06-18 16:08:38,2018-06-18 16:37:30,2018-06-18 16:39:37,1
27,Barbara,8,3,0,1,2,9,0,2018-06-18 16:08:38,2018-06-18 16:38:33,2018-06-18 16:40:09,1
28,Roxana,0,4,6,1,3,6,0,2018-06-18 16:08:38,2018-06-18 16:39:10,2018-06-18 16:40:39,1
29,Barbara,2,5,3,5,5,3,0,2018-06-18 16:08:38,2018-06-18 16:40:30,2018-06-18 16:41:51,1
30,Krystina,1,6,7,7,1,9,0,2018-06-18 16:08:38,2018-06-18 16:40:31,2018-06-18 16:43:20,1
31,Ted,0,0,3,7,2,0,0,2018-06-18 16:08:38,2018-06-18 16:42:17,2018-06-18 16:43:35,1
32,Marylyn,3,6,6,1,9,5,0,2018-06-18 16:08:38,2018-06-18 16:42:18,2018-06-18 16:44:28,1
