OrderID,customer,red,blue,green,yellow,black,white,pending,orderdate,tokendate,shipdate,shipped
1,Sherrie,9,3,7,8,6,0,0,6/18/2018 16:08,6/18/2018 16:08,6/18/2018 16:12,1
2,Dan,10,2,5,1,8,10,0,6/18/2018 16:08,6/18/2018 16:10,6/18/2018 16:14,1
3,Erma,1,6,6,8,2,8,0,6/18/2018 16:08,6/18/2018 16:12,6/18/2018 16:17,1
4,Sharon,5,8,4,9,9,2,0,6/18/2018 16:08,6/18/2018 16:15,6/18/2018 16:18,1
5,Sherrie,6,3,3,0,1,8,0,6/18/2018 16:08,6/18/2018 16:16,6/18/2018 16:19,1
6,Jacqueline,6,8,5,5,8,7,0,6/18/2018 16:08,6/18/2018 16:17,6/18/2018 16:20,1
7,Ramon,0,7,4,2,2,6,0,6/18/2018 16:08,6/18/2018 16:19,6/18/2018 16:21,1
8,Louise,2,0,3,6,5,5,0,6/18/2018 16:08,6/18/2018 16:20,6/18/2018 16:22,1
9,Ana,8,6,0,4,7,6,0,6/18/2018 16:08,6/18/2018 16:20,6/18/2018 16:24,1
10,Stephen,4,8,5,2,7,2,0,6/18/2018 16:08,6/18/2018 16:23,6/18/2018 16:25,1
11,Cayce,1,0,2,8,9,5,0,6/18/2018 16:08,6/18/2018 16:24,6/18/2018 16:26,1
12,Madeline,3,5,6,8,7,0,0,6/18/2018 16:08,6/18/2018 16:25,6/18/2018 16:27,1
13,Karen,5,7,0,2,9,2,0,6/18/2018 16:08,6/18/2018 16:26,6/18/2018 16:28,1
14,Tony,0,3,0,8,5,0,0,6/18/2018 16:08,6/18/2018 16:27,6/18/2018 16:29,1
15,Leslie,4,1,8,6,8,9,0,6/18/2018 16:08,6/18/2018 16:28,6/18/2018 16:30,1
16,Roxana,4,0,8,2,7,9,0,6/18/2018 16:08,6/18/2018 16:29,6/18/2018 16:31,1
17,Stephen,7,8,4,2,7,7,0,6/18/2018 16:08,6/18/2018 16:30,6/18/2018 16:32,1
18,Mark,0,0,0,8,9,0,0,6/18/2018 16:08,6/18/2018 16:31,6/18/2018 16:33,1
19,Rick,0,0,0,7,1,9,0,6/18/2018 16:08,6/18/2018 16:32,6/18/2018 16:33,1
20,Frank,0,0,0,3,1,0,0,6/18/2018 16:08,6/18/2018 16:33,6/18/2018 16:34,1
21,Tony,9,1,3,5,2,3,0,6/18/2018 16:08,6/18/2018 16:33,6/18/2018 16:34,1
22,Sharon,3,7,4,4,3,7,0,6/18/2018 16:08,6/18/2018 16:33,6/18/2018 16:36,1
23,Cathy,5,1,7,1,8,1,0,6/18/2018 16:08,6/18/2018 16:34,6/18/2018 16:36,1
24,Shane,1,10,3,8,3,4,0,6/18/2018 16:08,6/18/2018 16:35,6/18/2018 16:37,1
25,Ira,0,0,0,8,3,3,0,6/18/2018 16:08,6/18/2018 16:36,6/18/2018 16:38,1
26,Denise,4,5,9,0,4,6,0,6/18/2018 16:08,6/18/2018 16:37,6/18/2018 16:39,1
27,Barbara,8,3,0,1,2,9,0,6/18/2018 16:08,6/18/2018 16:38,6/18/2018 16:40,1
28,Roxana,0,4,6,1,3,6,0,6/18/2018 16:08,6/18/2018 16:39,6/18/2018 16:40,1
29,Barbara,2,5,3,5,5,3,0,6/18/2018 16:08,6/18/2018 16:40,6/18/2018 16:41,1
30,Krystina,1,6,7,7,1,9,0,6/18/2018 16:08,6/18/2018 16:40,6/18/2018 16:43,1
31,Ted,0,0,3,7,2,0,0,6/18/2018 16:08,6/18/2018 16:42,6/18/2018 16:43,1
32,Marylyn,3,6,6,1,9,5,0,6/18/2018 16:08,6/18/2018 16:42,6/18/2018 16:44,1
33,Jen,8,2,6,0,0,3,0,6/18/2018 16:08,6/18/2018 16:44,6/18/2018 16:45,1
